,type,geometry.type,geometry.coordinates,properties.name,properties.placename,properties.id,properties.state,properties.feature_term,properties.latitude,properties.longitude,properties.TLCMapLinkBack,properties.TLCMapDataset,properties.category,properties.group,properties.authority,properties.supply_date,display.popup.links,properties.description,properties.linkback,properties.datestart,properties.dateend,properties.udatestart,properties.udateend,properties.StationID,properties.Years,properties.Percent,properties.AWS,properties.place,properties.language_code,properties.language_name,properties.language_synonym,properties.thesaurus_heading_language,properties.thesaurus_heading_people,properties.approximate_latitude_of_language_variety,properties.approximate_longitude_of_language_variety,properties.uri,properties.State,properties.Newspaper Place of Publication,properties.Newspaper,properties.Article Word Count,properties.Article Link,properties.original_id,properties.street,properties.suburb,properties.postcode,properties.web_links,properties.source,properties.original_data_source,properties.parish,properties.lga
0,Feature,Point,"[143.1346115, -33.43181783]",Garnpung Lake,Garnpung Lake,n88dc4,NSW,lake,-33.43181783,143.1346115,https://ghap.tlcmap.org/search?id=n88dc4,https://ghap.tlcmap.org,waterbody,hydrology,NSW,2021-07-13,"[{'text': 'TLCMap Record: n88dc4', 'link': 'https://ghap.tlcmap.org/search?id=n88dc4'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Feature,Point,"[143.7012684, -33.29847835]",Four Mile Well,Four Mile Well,n88e57,NSW,bore,-33.29847835,143.7012684,https://ghap.tlcmap.org/search?id=n88e57,https://ghap.tlcmap.org,water point,hydrology,NSW,2021-07-13,"[{'text': 'TLCMap Record: n88e57', 'link': 'https://ghap.tlcmap.org/search?id=n88e57'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Feature,Point,"[143.265726, -33.90543026]",Greasy Catch Tank,Greasy Catch Tank,n895b6,NSW,water tank,-33.90543026,143.265726,https://ghap.tlcmap.org/search?id=n895b6,https://ghap.tlcmap.org,water point,hydrology,NSW,2021-07-13,"[{'text': 'TLCMap Record: n895b6', 'link': 'https://ghap.tlcmap.org/search?id=n895b6'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Feature,Point,"[143.9679293, -33.16514199]",Gunnaramby Swamp,Gunnaramby Swamp,n89942,NSW,wetland,-33.16514199,143.9679293,https://ghap.tlcmap.org/search?id=n89942,https://ghap.tlcmap.org,waterbody,hydrology,NSW,2021-07-13,"[{'text': 'TLCMap Record: n89942', 'link': 'https://ghap.tlcmap.org/search?id=n89942'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Feature,Point,"[143.734608, -33.83181408]",Hatfield,Hatfield,n89966,NSW,settlement,-33.83181408,143.734608,https://ghap.tlcmap.org/search?id=n89966,https://ghap.tlcmap.org,populated place,administration,NSW,2021-07-13,"[{'text': 'TLCMap Record: n89966', 'link': 'https://ghap.tlcmap.org/search?id=n89966'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Feature,Point,"[143.0089284220361, -33.36590266631033]",Mulurula,,tb8690,,,-33.36590266631033,143.0089284220361,https://ghap.tlcmap.org/search?id=tb8690,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb8690', 'link': 'https://ghap.tlcmap.org/search?id=tb8690'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","8P Mulurula E Pooncarie -	
Ref: Stretch Ledger A9082",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Feature,Point,"[143.0171425183895, -33.73275305827356]",Mungo,,tb86aa,,,-33.73275305827356,143.0171425183895,https://ghap.tlcmap.org/search?id=tb86aa,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb86aa', 'link': 'https://ghap.tlcmap.org/search?id=tb86aa'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","6Q Mungo E Pooncarie - Aboriginal meaning: a mouse.
Ref: Stretch Ledger A9082",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Feature,Point,"[143.3426064051232, -33.08741813498178]",Pan Ban,,tb8849,,,-33.08741813498178,143.3426064051232,https://ghap.tlcmap.org/search?id=tb8849,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb8849', 'link': 'https://ghap.tlcmap.org/search?id=tb8849'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","7P Pan Ban S E Menindie - Aboriginal meaning: a bittern or a heron (poonboon)
Ref: Stretch Ledger A9082",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Feature,Point,"[143.9375, -33.4021]",HATFIELD (CLARE),,t17828,,,-33.4021,143.9375,https://ghap.tlcmap.org/search?id=t17828,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t17828', 'link': 'https://ghap.tlcmap.org/search?id=t17828'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49008,1873-01-01,2021-01-01,-3061015492000.0,-3061015492000.0,49008,148.1,100,N,,,,,,,,,,,,,,,,,,,,,,,
9,Feature,Point,"[143.9679878541338, -33.505177475732]",Clare,,tb7e35,,,-33.505177475732,143.9679878541338,https://ghap.tlcmap.org/search?id=tb7e35,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb7e35', 'link': 'https://ghap.tlcmap.org/search?id=tb7e35'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]",13Q  Clare  W Hillston -,https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Feature,Point,"[143.9504236702782, -33.29030461164324]",Merowie,,tb859d,,,-33.29030461164324,143.9504236702782,https://ghap.tlcmap.org/search?id=tb859d,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb859d', 'link': 'https://ghap.tlcmap.org/search?id=tb859d'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","12Q Merowie N W Booligal - Aboriginal meaning: a large sheet of bark or bark huts.
Ref: Stretch Ledger A9082",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Feature,Point,"[143.1667, -33.8333]",TURLEE,,t17904,,,-33.8333,143.1667,https://ghap.tlcmap.org/search?id=t17904,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t17904', 'link': 'https://ghap.tlcmap.org/search?id=t17904'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49084,1878-01-01,1989-10-01,-2903249092000.0,-2903249092000.0,49084,24.4,22,N,,,,,,,,,,,,,,,,,,,,,,,
12,Feature,Point,"[143.1833, -33.2833]",PANBAN,,t17996,,,-33.2833,143.1833,https://ghap.tlcmap.org/search?id=t17996,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t17996', 'link': 'https://ghap.tlcmap.org/search?id=t17996'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=47082,1880-03-01,1947-09-01,-2834993092000.0,-2834993092000.0,47082,63,93,N,,,,,,,,,,,,,,,,,,,,,,,
13,Feature,Point,"[143.7667, -33.3167]",MANFRED,,t17a5e,,,-33.3167,143.7667,https://ghap.tlcmap.org/search?id=t17a5e,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t17a5e', 'link': 'https://ghap.tlcmap.org/search?id=t17a5e'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49025,1882-01-01,1966-07-01,-2777018692000.0,-2777018692000.0,49025,79.7,94,N,,,,,,,,,,,,,,,,,,,,,,,
14,Feature,Point,"[143.3986, -33.3393]",POONCARIE (MULURULU STATION),,t17a76,,,-33.3393,143.3986,https://ghap.tlcmap.org/search?id=t17a76,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t17a76', 'link': 'https://ghap.tlcmap.org/search?id=t17a76'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=47024,1882-01-01,2017-01-01,-2777018692000.0,-2777018692000.0,47024,134.5,100,N,,,,,,,,,,,,,,,,,,,,,,,
15,Feature,Point,"[143.056749, -33.722078]",Mungo Man and Lady,,tb346,,,-33.722078,143.056749,https://ghap.tlcmap.org/search?id=tb346,https://ghap.tlcmap.org/publicdatasets/239,,,,,"[{'text': 'TLCMap Record: tb346', 'link': 'https://ghap.tlcmap.org/search?id=tb346'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/239'}]","Mungo Man and Mungo Lady's remains were found near Lake Mungo, NSW and they show evidence of an approx. 42,000 year old ritual burial thus making some of the oldest remains (of Homo Sapiens) ever found, outside of Africa. They are of great importance to their Aboriginal descendants who reside in the Willandra Lakes area, such as the Paakantji, Ngyiampaa and Mutthi Mutthi people. (Sources: http://www.visitmungo.com.au/mungo-lady-mungo-man; https://rdcu.be/cw4nj)",http://www.visitmungo.com.au/mungo-lady-mungo-man; https://rdcu.be/cw4nj,-44021,-40021,0.0,0.0,,,,,"Lake Mungo, NSW",,,,,,,,,,,,,,,,,,,,,,
16,Feature,Point,"[143.941, -33.8732]",Yitha Yitha ,,t667,,,-33.8732,143.941,https://ghap.tlcmap.org/search?id=t667,https://ghap.tlcmap.org/publicdatasets/81,,,,,"[{'text': 'TLCMap Record: t667', 'link': 'https://ghap.tlcmap.org/search?id=t667'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/81'}]","undefined
        <table>
			<tr><td>language_code</td><td>D7</td></tr>
            
			<tr><td>language_name</td><td>Yitha Yitha </td></tr>
            
			<tr><td>language_synonym</td><td>Jitu Jitu, Yida Yida, Bayangil, Eetha Eetha, Eethanaeetha, Eethee Eethee, Eethie Eethie, i7a Yida, Ita ita, Itaiithi, Itaita, Ithi ithi, Iti iti, Jida Jida, Jitajita, Tjuop, Yetho, Yit tha, Yitha, Yitsa, Ithiithi, Eethaeetha, Yitayita</td></tr>
            
			<tr><td>thesaurus_heading_language</td><td>Yitha Yitha language D7</td></tr>
            
			<tr><td>thesaurus_heading_people</td><td>Yitha Yitha people D7</td></tr>
            
			<tr><td>approximate_latitude_of_language_variety</td><td>-33.87318608</td></tr>
            
			<tr><td>approximate_longitude_of_language_variety</td><td>143.9409128</td></tr>
            
			<tr><td>uri</td><td>https://collection.aiatsis.gov.au/austlang/language/d7</td></tr>
            
        </table>",,,,,,,,,,,D7,Yitha Yitha ,"Jitu Jitu, Yida Yida, Bayangil, Eetha Eetha, Eethanaeetha, Eethee Eethee, Eethie Eethie, i7a Yida, Ita ita, Itaiithi, Itaita, Ithi ithi, Iti iti, Jida Jida, Jitajita, Tjuop, Yetho, Yit tha, Yitha, Yitsa, Ithiithi, Eethaeetha, Yitayita",Yitha Yitha language D7,Yitha Yitha people D7,-33.87318608,143.9409128,<a href='https://collection.aiatsis.gov.au/austlang/language/d7'>https://collection.aiatsis.gov.au/austlang/language/d7</a>,,,,,,,,,,,,,,
17,Feature,Point,"[143.5683333, -33.95777778]",Miscellaneous.,WILLIARIV EAST,t802d,,,-33.95777778,143.5683333,https://ghap.tlcmap.org/search?id=t802d,https://ghap.tlcmap.org/publicdatasets/170,,,,,"[{'text': 'TLCMap Record: t802d', 'link': 'https://ghap.tlcmap.org/search?id=t802d'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/170'}]",,,1873-06-12,1873-06-12,-3047018692000.0,-3047018692000.0,,,,,,,,,,,,,,NSW,Launceston,"The Tasmanian (Launceston, Tas. : 1871 - 1879)",4363,<a href='https://nla.gov.au/nla.news-article198911112'>https://nla.gov.au/nla.news-article198911112</a>,,,,,,,,,
18,Feature,Point,"[143.4667, -33.9667]",D-BLOCK,,t17f1e,,,-33.9667,143.4667,https://ghap.tlcmap.org/search?id=t17f1e,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t17f1e', 'link': 'https://ghap.tlcmap.org/search?id=t17f1e'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49099,1889-01-01,1918-01-01,-2556093892000.0,-2556093892000.0,49099,28.1,97,N,,,,,,,,,,,,,,,,,,,,,,,
19,Feature,Point,"[144, -33.3833]",CLARE TANK,,t18082,,,-33.3833,144,https://ghap.tlcmap.org/search?id=t18082,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t18082', 'link': 'https://ghap.tlcmap.org/search?id=t18082'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49088,1891-01-01,1918-10-01,-2493021892000.0,-2493021892000.0,49088,18,65,N,,,,,,,,,,,,,,,,,,,,,,,
20,Feature,Point,"[143.9, -33.7]",TILL TILL TANK,,t180de,,,-33.7,143.9,https://ghap.tlcmap.org/search?id=t180de,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t180de', 'link': 'https://ghap.tlcmap.org/search?id=t180de'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49093,1891-01-01,1922-05-01,-2493021892000.0,-2493021892000.0,49093,27.7,88,N,,,,,,,,,,,,,,,,,,,,,,,
21,Feature,Point,"[143.7, -33.95]",YOUHL PLAIN TANK,,t180f8,,,-33.95,143.7,https://ghap.tlcmap.org/search?id=t180f8,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t180f8', 'link': 'https://ghap.tlcmap.org/search?id=t180f8'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49059,1891-01-01,1961-11-01,-2493021892000.0,-2493021892000.0,49059,58.9,83,N,,,,,,,,,,,,,,,,,,,,,,,
22,Feature,Point,"[143.25, -33.3833]",GARNPANG,,t182c6,,,-33.3833,143.25,https://ghap.tlcmap.org/search?id=t182c6,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t182c6', 'link': 'https://ghap.tlcmap.org/search?id=t182c6'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=47065,1896-09-01,1925-12-01,-2314173600000.0,-2314173600000.0,47065,29.3,100,N,,,,,,,,,,,,,,,,,,,,,,,
